Region,Year,Gender,ICD-10_Cause,ICD-10_Code,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year
Census Region 3: South,2001.0,Male,"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)",GR113-018,,,0.5,1.1,2.2,,3.9,6.9,12.9,25.7,5.5
Census Region 3: South,2001.0,Male,"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)",GR113-123,2.8,2.9,3.9,5.5,7.3,0.9,8.5,15.7,43.5,156.3,23.3
Census Region 3: South,2001.0,Male,Other chronic liver disease and cirrhosis (K73-K74),GR113-095,,,0.4,4.7,14.1,,18.7,24.6,27.5,29.6,
Census Region 3: South,2001.0,Male,"Other chronic lower respiratory diseases (J44,J47)",GR113-086,,,,1.2,7.3,,43.8,166.9,423.4,843.1,
Census Region 3: South,2001.0,Male,"Other diseases of arteries, arterioles and capillaries (I72-I78)",GR113-074,,,,0.3,1.2,,3.5,14.1,32.0,89.4,
Census Region 3: South,2001.0,Male,Other diseases of circulatory system (I71-I78),GR113-072,,,0.5,1.6,3.8,,12.4,42.2,95.9,197.1,
Census Region 3: South,2001.0,Male,"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)",GR113-089,,0.3,0.7,1.6,4.9,,12.8,39.9,95.1,178.3,10.4
Census Region 3: South,2001.0,Male,Other disorders of circulatory system (I80-I99),GR113-075,,,,0.7,1.2,,2.8,4.5,11.0,19.8,
Census Region 3: South,2001.0,Male,"Other forms of chronic ischemic heart disease (I20,I25)",GR113-061,,0.4,2.8,16.5,60.2,,161.2,384.9,998.5,2772.3,
Census Region 3: South,2001.0,Male,Other heart diseases (I26-I51),GR113-064,2.0,2.9,6.5,15.5,35.0,0.6,78.2,182.0,495.8,1581.7,12.6
Census Region 3: South,2001.0,Male,"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)",GR113-115,,0.8,0.7,1.2,0.8,0.3,0.8,0.9,,,
Census Region 3: South,2001.0,Male,Pneumonia (J12-J18),GR113-078,,0.7,1.0,2.9,6.6,0.3,14.8,45.9,182.8,803.1,9.4
Census Region 3: South,2001.0,Male,Renal failure (N17-N19),GR113-100,,,0.7,2.1,6.6,,17.1,50.7,134.3,411.6,4.0
Census Region 3: South,2001.0,Male,Respiratory tuberculosis (A16),GR113-005,,,,,0.5,,0.8,1.2,2.0,5.0,
Census Region 3: South,2001.0,Male,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR113-110,1.9,2.2,3.5,6.1,7.9,0.4,10.4,17.7,53.5,246.2,111.3
Census Region 3: South,2001.0,Male,"Transport accidents (V01-V99,Y85)",GR113-113,6.7,49.2,35.9,32.0,30.1,7.0,27.2,29.5,46.8,71.7,3.7
Census Region 3: South,2001.0,Male,"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)",GR113-116,,0.9,1.4,1.8,2.3,0.3,1.8,2.0,,,
Census Region 3: South,2002.0,Female,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,10.9,25.0,18.7,24.8,23.3,6.3,19.9,33.3,86.5,260.3,23.0
Census Region 3: South,2002.0,Female,#Acute bronchitis and bronchiolitis (J20-J21),GR113-080,,,,,,,,,,2.5,
Census Region 3: South,2002.0,Female,#Alzheimer disease (G30),GR113-052,,,,,,,2.1,23.7,188.3,920.0,
Census Region 3: South,2002.0,Female,#Anemias (D50-D64),GR113-045,,0.3,0.5,0.6,0.9,,1.4,3.0,10.7,46.5,
Census Region 3: South,2002.0,Female,#Aortic aneurysm and dissection (I71),GR113-073,,,,0.4,1.1,,2.7,11.0,27.2,52.6,
Census Region 3: South,2002.0,Female,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,2.9,4.8,5.4,5.0,3.3,0.8,1.9,1.9,2.1,2.2,8.8
Census Region 3: South,2002.0,Female,#Atherosclerosis (I70),GR113-071,,,,,0.3,,1.4,5.0,28.7,164.8,
Census Region 3: South,2002.0,Female,#Cerebrovascular diseases (I60-I69),GR113-070,,0.3,1.8,6.6,17.3,,38.7,121.8,453.3,1653.5,
Census Region 3: South,2002.0,Female,#Certain conditions originating in the perinatal period (P00-P96),GR113-108,,,,,,,,,,,353.1
Census Region 3: South,2002.0,Female,#Cholelithiasis and other disorders of gallbladder (K80-K82),GR113-096,,,,,,,0.6,2.5,6.9,22.1,
Census Region 3: South,2002.0,Female,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,,,0.7,4.6,10.1,,14.0,22.2,28.6,20.7,
Census Region 3: South,2002.0,Female,#Chronic lower respiratory diseases (J40-J47),GR113-082,,0.4,0.8,2.4,9.5,0.4,44.9,152.4,334.3,533.0,
Census Region 3: South,2002.0,Female,"#Complications of medical and surgical care (Y40-Y84,Y88)",GR113-135,,,,0.5,0.6,,1.3,3.2,6.0,11.7,
Census Region 3: South,2002.0,Female,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,3.8,1.2,1.0,1.1,1.6,1.1,2.1,2.1,3.8,7.6,149.4
Census Region 3: South,2002.0,Female,#Diabetes mellitus (E10-E14),GR113-046,,0.5,1.7,4.5,14.1,,37.1,90.8,182.1,347.3,
Census Region 3: South,2002.0,Female,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,1.3,2.2,7.2,23.3,62.7,0.7,171.3,470.0,1465.1,5510.7,15.4
Census Region 3: South,2002.0,Female,#Enterocolitis due to Clostridium difficile (A04.7),GR113-136,,,,,,,,1.4,6.5,18.9,
Census Region 3: South,2002.0,Female,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,,,0.3,0.9,2.4,,5.9,17.4,54.2,200.6,
Census Region 3: South,2002.0,Female,#Hernia (K40-K46),GR113-092,,,,,,,0.5,1.4,3.8,13.2,
Census Region 3: South,2002.0,Female,#Human immunodeficiency virus (HIV) disease (B20-B24),GR113-016,,0.8,5.7,9.4,6.4,,2.4,1.2,,,
Census Region 3: South,2002.0,Female,"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",GR113-044,,,0.5,0.9,1.7,,3.7,10.1,28.7,65.2,
Census Region 3: South,2002.0,Female,"#Infections of kidney (N10-N12,N13.6,N15.1)",GR113-102,,,,,,,,0.8,2.2,8.5,
Census Region 3: South,2002.0,Female,#Influenza and pneumonia (J09-J18),GR113-076,0.7,0.4,0.9,2.0,4.0,,9.5,30.8,132.8,658.4,5.6
Census Region 3: South,2002.0,Female,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,,2.8,5.3,8.3,7.8,0.4,6.4,4.5,4.0,3.5,
Census Region 3: South,2002.0,Female,#Malignant neoplasms (C00-C97),GR113-019,2.5,3.7,11.3,44.1,124.9,2.4,312.7,633.2,1028.0,1428.1,
Census Region 3: South,2002.0,Female,"#Meningitis (G00,G03)",GR113-050,,,,,0.3,,,,,,
Census Region 3: South,2002.0,Female,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,,0.3,1.0,2.0,5.2,,13.6,37.9,99.1,269.3,3.2
Census Region 3: South,2002.0,Female,#Nutritional deficiencies (E40-E64),GR113-047,,,,,0.3,,0.6,2.6,11.2,60.3,
Census Region 3: South,2002.0,Female,#Parkinson disease (G20-G21),GR113-051,,,,,,,0.9,7.4,43.9,99.7,
Census Region 3: South,2002.0,Female,#Peptic ulcer (K25-K28),GR113-090,,,,,0.5,,1.0,2.4,8.1,20.2,
Census Region 3: South,2002.0,Female,#Pneumonitis due to solids and liquids (J69),GR113-088,,,,0.4,0.8,,1.8,7.0,41.4,186.3,
Census Region 3: South,2002.0,Female,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,,0.6,1.2,0.6,,,,,,,
Census Region 3: South,2002.0,Female,#Septicemia (A40-A41),GR113-010,,0.4,1.2,2.6,6.3,0.3,14.1,38.0,92.2,251.9,9.8
Census Region 3: South,2002.0,Female,#Tuberculosis (A16-A19),GR113-004,,,,,,,,0.5,1.5,2.2,
Census Region 3: South,2002.0,Female,#Viral hepatitis (B15-B19),GR113-015,,,,1.4,3.0,,2.6,4.4,4.7,4.3,
Census Region 3: South,2002.0,Female,Accidental drowning and submersion (W65-W74),GR113-120,2.6,0.3,0.3,0.4,0.4,0.4,0.5,,1.0,,
Census Region 3: South,2002.0,Female,"Accidental exposure to smoke, fire and flames (X00-X09)",GR113-121,1.6,0.4,0.6,0.7,1.0,0.7,1.0,1.4,2.9,5.0,
Census Region 3: South,2002.0,Female,Accidental poisoning and exposure to noxious substances (X40-X49),GR113-122,,2.4,4.4,8.6,7.6,,3.0,2.1,2.4,5.0,
Census Region 3: South,2002.0,Female,Acute and subacute endocarditis (I33),GR113-065,,,,,,,0.5,0.8,1.8,2.2,
Census Region 3: South,2002.0,Female,Acute myocardial infarction (I21-I22),GR113-059,,,0.8,5.0,17.1,,53.3,141.2,396.3,1231.5,
Census Region 3: South,2002.0,Female,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),GR113-055,,,,0.3,0.9,,2.0,4.3,8.6,15.9,
Census Region 3: South,2002.0,Female,Alcoholic liver disease (K70),GR113-094,,,0.4,2.3,4.7,,4.6,4.2,2.1,,
Census Region 3: South,2002.0,Female,"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)",GR113-043,,1.1,1.7,4.8,12.0,0.7,31.0,61.7,116.5,209.1,
Census Region 3: South,2002.0,Female,All other diseases (Residual) ,GR113-111,4.5,4.5,7.9,17.4,32.2,2.1,59.9,137.0,428.9,1745.3,26.2
Census Region 3: South,2002.0,Female,"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)",GR113-063,,,0.6,4.0,11.9,,39.4,128.5,446.0,1746.6,
Census Region 3: South,2002.0,Female,"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)",GR113-068,1.0,1.6,4.1,8.8,16.1,0.5,35.4,88.3,259.7,905.6,12.8
Census Region 3: South,2002.0,Female,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,,3.2,3.2,2.6,1.8,0.4,1.2,0.9,0.8,,
Census Region 3: South,2002.0,Female,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,2.6,1.7,2.2,2.4,1.5,0.4,0.8,1.1,1.3,,8.1
Census Region 3: South,2002.0,Female,Asthma (J45-J46),GR113-085,,0.3,0.6,1.1,2.0,0.3,2.7,3.9,6.6,15.7,
Census Region 3: South,2002.0,Female,"Atherosclerotic cardiovascular disease, so described (I25.0)",GR113-062,,,,1.6,5.9,,15.9,42.4,135.9,562.0,
Census Region 3: South,2002.0,Female,"Bronchitis, chronic and unspecified (J40-J42)",GR113-083,,,,,,,,0.8,2.6,9.9,
Census Region 3: South,2002.0,Female,"Certain other intestinal infections (A04,A07-A09)",GR113-003,,,,,,,,1.7,6.9,20.4,
Census Region 3: South,2002.0,Female,"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)",GR113-099,,,,,,,,,0.7,2.1,
Census Region 3: South,2002.0,Female,"Diseases of pericardium and acute myocarditis (I30-I31,I40)",GR113-066,,,,,,,,0.8,1.2,2.1,
Census Region 3: South,2002.0,Female,Emphysema (J43),GR113-084,,,,,1.1,,6.2,21.7,37.8,42.9,
Census Region 3: South,2002.0,Female,"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)",GR113-131,,0.8,1.3,2.4,2.1,,0.8,,0.7,,
Census Region 3: South,2002.0,Female,Falls (W00-W19),GR113-118,,,,0.6,1.1,,2.2,6.8,29.8,108.9,
Census Region 3: South,2002.0,Female,Heart failure (I50),GR113-067,,,0.4,0.8,2.9,,10.4,34.4,136.9,722.8,
Census Region 3: South,2002.0,Female,Hodgkin disease (C81),GR113-038,,,0.3,0.3,0.3,,,0.8,1.9,3.3,
Census Region 3: South,2002.0,Female,Hypertensive heart and renal disease (I13),GR113-057,,,,,0.5,,1.2,3.0,7.9,26.9,
Census Region 3: South,2002.0,Female,Hypertensive heart disease (I11),GR113-056,,,0.7,2.1,5.9,,10.9,21.5,60.7,253.9,
Census Region 3: South,2002.0,Female,Influenza (J09-J11),GR113-077,,,,,,,,,1.0,5.1,
Census Region 3: South,2002.0,Female,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,,1.1,2.3,3.4,2.9,,3.2,2.2,1.8,,
Census Region 3: South,2002.0,Female,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,,1.7,3.0,4.9,4.9,,3.2,2.2,2.2,2.5,
Census Region 3: South,2002.0,Female,Ischemic heart diseases (I20-I25),GR113-058,,0.3,1.7,10.8,36.0,,110.6,316.8,988.3,3581.0,
Census Region 3: South,2002.0,Female,Leukemia (C91-C95),GR113-040,,1.0,1.1,1.5,3.2,0.8,7.8,17.6,39.2,64.9,
Census Region 3: South,2002.0,Female,Major cardiovascular diseases (I00-I78),GR113-053,1.6,2.8,9.6,31.8,84.8,0.9,223.0,635.7,2053.6,7667.9,18.9
Census Region 3: South,2002.0,Female,Malignant melanoma of skin (C43),GR113-028,,,0.3,1.0,1.7,,3.6,5.0,8.6,13.5,
Census Region 3: South,2002.0,Female,Malignant neoplasm of bladder (C67),GR113-035,,,,,0.8,,2.2,8.0,18.9,39.7,
Census Region 3: South,2002.0,Female,Malignant neoplasm of breast (C50),GR113-029,,,2.5,13.3,33.1,,58.2,82.4,119.8,187.9,
Census Region 3: South,2002.0,Female,Malignant neoplasm of cervix uteri (C53),GR113-030,,,1.4,3.6,4.9,,5.4,7.4,7.6,11.3,
Census Region 3: South,2002.0,Female,Malignant neoplasm of esophagus (C15),GR113-021,,,,0.3,1.2,,2.9,7.0,10.6,14.5,
Census Region 3: South,2002.0,Female,Malignant neoplasm of larynx (C32),GR113-026,,,,,0.4,,1.3,2.3,2.8,2.2,
Census Region 3: South,2002.0,Female,Malignant neoplasm of ovary (C56),GR113-032,,,0.5,2.2,7.4,,19.5,33.4,54.7,57.8,
Census Region 3: South,2002.0,Female,Malignant neoplasm of pancreas (C25),GR113-025,,,,1.0,4.6,,14.0,37.1,66.2,95.4,
Census Region 3: South,2002.0,Female,Malignant neoplasm of stomach (C16),GR113-022,,,,0.9,1.9,,4.5,9.3,18.5,42.1,
Census Region 3: South,2002.0,Female,"Malignant neoplasms of colon, rectum and anus (C18-C21)",GR113-023,,,0.8,3.2,11.3,,25.8,56.6,113.1,225.9,
Census Region 3: South,2002.0,Female,"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)",GR113-031,,,,0.7,2.3,,7.8,16.9,23.3,32.5,
Census Region 3: South,2002.0,Female,Malignant neoplasms of kidney and renal pelvis (C64-C65),GR113-034,,,,0.5,2.0,,5.2,11.1,18.3,25.5,
Census Region 3: South,2002.0,Female,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,,,,0.4,1.3,,3.1,5.9,9.5,18.0,
Census Region 3: South,2002.0,Female,Malignant neoplasms of liver and intrahepatic bile ducts (C22),GR113-024,,,0.3,0.6,1.9,,5.4,11.7,21.7,35.3,
Census Region 3: South,2002.0,Female,"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",GR113-037,0.8,1.4,2.0,3.2,7.9,0.9,21.8,54.4,115.4,167.8,
Census Region 3: South,2002.0,Female,"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)",GR113-036,0.8,0.3,0.7,1.7,4.1,0.7,8.0,13.0,17.2,18.0,
Census Region 3: South,2002.0,Female,"Malignant neoplasms of trachea, bronchus and lung (C33-C34)",GR113-027,,,0.3,6.4,26.1,,92.9,210.0,285.2,231.6,
Census Region 3: South,2002.0,Female,Malnutrition (E40-E46),GR113-048,,,,,,,0.6,2.4,10.7,55.4,
Census Region 3: South,2002.0,Female,"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",GR113-114,4.8,20.7,12.0,12.5,10.8,4.2,10.0,14.4,21.1,21.5,3.4
Census Region 3: South,2002.0,Female,"Multiple myeloma and immunoproliferative neoplasms (C88,C90)",GR113-041,,,,,1.4,,5.0,14.8,26.3,31.8,
Census Region 3: South,2002.0,Female,Non-Hodgkin lymphoma (C82-C85),GR113-039,,,0.5,1.1,3.0,,8.6,21.1,47.8,67.2,
Census Region 3: South,2002.0,Female,"Nontransport accidents (W00-X59,Y86)",GR113-117,6.0,3.8,6.3,11.8,12.1,1.7,9.6,18.7,65.0,238.2,19.6
Census Region 3: South,2002.0,Female,Other acute ischemic heart diseases (I24),GR113-060,,,,,1.0,,2.0,4.7,10.1,40.9,
Census Region 3: South,2002.0,Female,"Other acute lower respiratory infections (J20-J22,U04)",GR113-079,,,,,,,,,,3.8,
Census Region 3: South,2002.0,Female,"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)",GR113-133,,0.7,1.3,2.4,2.0,,0.7,,,,
Census Region 3: South,2002.0,Female,"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)",GR113-018,,,0.3,0.9,1.6,,2.6,5.4,10.2,19.1,7.0
Census Region 3: South,2002.0,Female,"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)",GR113-123,1.3,0.5,0.7,1.3,1.9,0.4,2.9,7.8,28.8,118.3,16.0
Census Region 3: South,2002.0,Female,Other chronic liver disease and cirrhosis (K73-K74),GR113-095,,,0.3,2.3,5.4,,9.3,17.9,26.5,20.0,
Census Region 3: South,2002.0,Female,"Other chronic lower respiratory diseases (J44,J47)",GR113-086,,,,1.1,6.4,,35.8,126.0,287.2,464.6,
Census Region 3: South,2002.0,Female,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,,0.6,1.1,0.5,,,,,,,
Census Region 3: South,2002.0,Female,"Other diseases of arteries, arterioles and capillaries (I72-I78)",GR113-074,,,,0.4,1.0,,3.0,10.4,25.1,85.7,
Census Region 3: South,2002.0,Female,Other diseases of circulatory system (I71-I78),GR113-072,,,0.3,0.9,2.1,,5.7,21.5,52.3,138.4,
Census Region 3: South,2002.0,Female,"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)",GR113-089,,0.4,0.9,1.5,3.8,0.3,9.0,24.7,61.2,135.8,7.1
Census Region 3: South,2002.0,Female,Other disorders of circulatory system (I80-I99),GR113-075,,,0.5,0.7,1.3,,1.8,3.7,10.6,30.2,
Census Region 3: South,2002.0,Female,"Other forms of chronic ischemic heart disease (I20,I25)",GR113-061,,,0.8,5.6,17.9,,55.3,170.9,581.9,2308.7,
Census Region 3: South,2002.0,Female,Other heart diseases (I26-I51),GR113-064,1.3,1.8,4.7,9.9,19.4,0.5,46.7,124.3,399.6,1632.9,14.7
Census Region 3: South,2002.0,Female,Other nutritional deficiencies (E50-E64),GR113-049,,,,,,,,,,5.0,
Census Region 3: South,2002.0,Female,Pneumonia (J12-J18),GR113-078,0.7,0.4,0.9,2.0,4.0,,9.5,30.6,131.8,653.3,5.6
Census Region 3: South,2002.0,Female,Renal failure (N17-N19),GR113-100,,0.3,0.9,1.9,5.1,,13.4,37.4,97.7,265.7,3.1
Census Region 3: South,2002.0,Female,Respiratory tuberculosis (A16),GR113-005,,,,,,,,,1.2,,
Census Region 3: South,2002.0,Female,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR113-110,1.6,1.3,2.7,4.1,5.4,0.3,6.3,12.8,47.9,329.3,94.8
Census Region 3: South,2002.0,Female,"Transport accidents (V01-V99,Y85)",GR113-113,4.9,21.2,12.4,13.0,11.2,4.6,10.3,14.6,21.6,22.1,3.4
Census Region 3: South,2002.0,Female,"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)",GR113-116,,0.3,,0.3,0.3,,,,,,
Census Region 3: South,2002.0,Male,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,16.5,66.1,60.1,63.4,59.7,10.1,52.0,68.5,142.7,392.4,31.1
Census Region 3: South,2002.0,Male,#Alzheimer disease (G30),GR113-052,,,,,,,2.0,21.1,151.3,647.4,
Census Region 3: South,2002.0,Male,#Anemias (D50-D64),GR113-045,,0.5,0.8,0.5,0.8,,1.0,3.3,10.6,38.9,
Census Region 3: South,2002.0,Male,#Aortic aneurysm and dissection (I71),GR113-073,,,0.6,1.1,2.8,,9.6,28.5,61.8,104.5,
Census Region 3: South,2002.0,Male,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,3.0,24.1,21.6,14.0,9.6,1.2,6.6,4.3,4.0,4.9,9.9
Census Region 3: South,2002.0,Male,#Atherosclerosis (I70),GR113-071,,,,,0.8,,2.9,8.6,32.8,148.6,
Census Region 3: South,2002.0,Male,#Cerebrovascular diseases (I60-I69),GR113-070,,0.5,1.5,6.6,20.8,0.3,50.2,147.0,455.8,1427.2,5.1
Census Region 3: South,2002.0,Male,#Certain conditions originating in the perinatal period (P00-P96),GR113-108,,,,,,,,,,,436.9
Census Region 3: South,2002.0,Male,#Cholelithiasis and other disorders of gallbladder (K80-K82),GR113-096,,,,,0.4,,1.1,3.3,11.1,23.4,
Census Region 3: South,2002.0,Male,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,,,1.2,9.9,29.8,,36.5,38.8,38.9,32.6,
Census Region 3: South,2002.0,Male,#Chronic lower respiratory diseases (J40-J47),GR113-082,0.7,0.6,0.6,2.3,11.0,0.4,52.0,201.1,500.9,974.4,
Census Region 3: South,2002.0,Male,"#Complications of medical and surgical care (Y40-Y84,Y88)",GR113-135,,,,0.4,0.7,,1.4,3.2,6.9,12.4,
Census Region 3: South,2002.0,Male,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,3.3,1.3,1.4,1.5,1.7,1.0,2.2,2.3,3.2,5.2,153.9
Census Region 3: South,2002.0,Male,#Diabetes mellitus (E10-E14),GR113-046,,0.6,2.5,6.8,20.2,,51.0,104.8,204.8,372.5,
Census Region 3: South,2002.0,Male,#Diseases of appendix (K35-K38),GR113-091,,,,,0.3,,,0.7,,,
Census Region 3: South,2002.0,Male,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,1.2,3.9,13.0,53.1,162.3,0.6,385.5,875.9,2152.7,6273.8,17.1
Census Region 3: South,2002.0,Male,#Enterocolitis due to Clostridium difficile (A04.7),GR113-136,,,,,,,0.6,1.9,7.1,18.8,
Census Region 3: South,2002.0,Male,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,,,0.3,1.4,4.0,,8.2,18.3,50.0,159.2,
Census Region 3: South,2002.0,Male,#Hernia (K40-K46),GR113-092,,,,,,,,1.6,4.3,12.0,
Census Region 3: South,2002.0,Male,#Human immunodeficiency virus (HIV) disease (B20-B24),GR113-016,,0.6,9.2,25.7,22.6,,10.3,5.0,2.0,,
Census Region 3: South,2002.0,Male,#Hyperplasia of prostate (N40),GR113-103,,,,,,,,,3.2,9.4,
Census Region 3: South,2002.0,Male,"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",GR113-044,,,0.5,0.8,2.0,,5.8,15.1,46.5,103.1,
Census Region 3: South,2002.0,Male,"#Infections of kidney (N10-N12,N13.6,N15.1)",GR113-102,,,,,,,,0.8,1.8,7.3,
Census Region 3: South,2002.0,Male,#Influenza and pneumonia (J09-J18),GR113-076,0.8,0.6,1.0,2.8,6.3,,15.2,46.9,192.1,807.5,9.1
Census Region 3: South,2002.0,Male,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,,16.7,21.9,25.8,26.0,1.0,23.4,27.7,45.2,56.3,
Census Region 3: South,2002.0,Male,"#Legal intervention (Y35,Y89.0)",GR113-130,,0.4,0.6,0.6,0.4,,,,,,
Census Region 3: South,2002.0,Male,#Malignant neoplasms (C00-C97),GR113-019,2.8,5.0,9.6,35.6,146.8,2.8,441.3,998.8,1772.2,2704.4,
Census Region 3: South,2002.0,Male,"#Meningitis (G00,G03)",GR113-050,,,,,0.4,,,0.7,,,3.2
Census Region 3: South,2002.0,Male,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,,,0.9,2.0,7.1,,17.6,48.5,138.7,417.2,7.8
Census Region 3: South,2002.0,Male,#Nutritional deficiencies (E40-E64),GR113-047,,,,,0.3,,1.1,2.7,11.4,51.6,
Census Region 3: South,2002.0,Male,#Parkinson disease (G20-G21),GR113-051,,,,,,,1.6,17.1,89.0,218.9,
Census Region 3: South,2002.0,Male,#Peptic ulcer (K25-K28),GR113-090,,,,0.4,1.0,,1.7,4.5,10.7,30.7,
Census Region 3: South,2002.0,Male,"#Pneumoconioses and chemical effects (J60-J66,J68)",GR113-087,,,,,,,0.9,3.7,11.9,24.1,
Census Region 3: South,2002.0,Male,#Pneumonitis due to solids and liquids (J69),GR113-088,,,,0.7,1.4,,3.4,15.1,69.4,317.1,
Census Region 3: South,2002.0,Male,#Septicemia (A40-A41),GR113-010,,0.4,0.9,2.5,7.4,0.3,16.4,44.0,113.1,262.5,9.9
Census Region 3: South,2002.0,Male,#Tuberculosis (A16-A19),GR113-004,,,,0.3,0.4,,0.8,1.7,2.3,5.4,
Census Region 3: South,2002.0,Male,#Viral hepatitis (B15-B19),GR113-015,,,0.5,2.9,9.7,,5.7,4.3,5.5,6.3,
Census Region 3: South,2002.0,Male,Accidental discharge of firearms (W32-W34),GR113-119,,1.4,1.0,0.7,0.9,0.3,0.7,,,,
Census Region 3: South,2002.0,Male,Accidental drowning and submersion (W65-W74),GR113-120,5.3,3.3,2.3,2.5,2.1,1.5,1.8,2.0,2.8,6.6,
Census Region 3: South,2002.0,Male,"Accidental exposure to smoke, fire and flames (X00-X09)",GR113-121,1.9,0.9,1.2,1.4,2.0,0.8,2.1,4.0,5.9,12.0,
Census Region 3: South,2002.0,Male,Accidental poisoning and exposure to noxious substances (X40-X49),GR113-122,,7.9,12.9,18.7,14.5,,4.6,2.8,2.8,,
Census Region 3: South,2002.0,Male,Acute and subacute endocarditis (I33),GR113-065,,,,0.4,0.6,,0.8,1.4,2.8,,
Census Region 3: South,2002.0,Male,Acute myocardial infarction (I21-I22),GR113-059,,,2.0,14.6,51.0,,130.6,284.9,609.2,1538.8,
Census Region 3: South,2002.0,Male,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),GR113-055,,,,0.3,0.4,,1.3,2.4,4.6,11.5,
Census Region 3: South,2002.0,Male,Alcoholic liver disease (K70),GR113-094,,,0.7,5.5,15.4,,17.1,14.5,7.9,,
